Episode,Reward,Steps
0,-166.94999999999996,190
1,-1090.2499999999998,512
2,-51.449999999999974,74
3,-21.350000000000005,64
4,-56.94999999999998,74
5,-343.84999999999997,242
6,-7.799999999999999,40
7,-10.600000000000007,38
8,-7.150000000000004,34
9,-9.7,38
10,-17.050000000000004,50
11,-328.00000000000006,178
12,-0.050000000000000266,16
13,-12.100000000000007,58
14,-11.100000000000003,46
15,-9.450000000000003,46
16,-2.1500000000000004,26
17,-4.700000000000001,32
18,-74.99999999999999,74
19,-8.55,36
20,-40.24999999999998,66
21,-11.400000000000004,50
22,-27.000000000000007,62
23,-0.15000000000000036,18
24,-2.299999999999999,24
25,-0.8499999999999999,18
26,-2.199999999999999,26
27,-0.9500000000000004,22
28,-52.549999999999976,50
29,-0.050000000000000044,16
30,-0.15000000000000036,18
31,-2.0499999999999985,20
32,0.35,14
33,0.35,14
34,-0.5500000000000005,20
35,-82.34999999999998,60
36,-0.05000000000000049,16
37,-0.7500000000000004,20
38,0.35,14
39,0.35,14
40,-0.40000000000000036,20
41,-70.14999999999999,58
42,0.35,14
43,-54.949999999999974,50
44,-37.94999999999997,52
45,-0.05000000000000049,16
46,0.35,14
47,0.35,14
48,-59.09999999999997,58
49,-13.750000000000007,34
50,-19.950000000000006,36
51,0.35,14
52,-0.050000000000000044,16
53,-1.6499999999999981,20
54,-0.050000000000000044,16
55,0.35,14
56,-3.5500000000000007,26
57,0.35,14
58,0.35,14
59,-0.050000000000000044,16
60,0.35,14
61,-1.1499999999999995,22
62,-0.15000000000000036,18
63,-0.40000000000000036,20
64,-9.350000000000007,32
65,0.35,14
66,-7.349999999999998,32
67,-1.65,20
68,-1.6499999999999986,20
69,0.35,14
70,0.35,14
71,-0.05000000000000049,16
72,-0.7500000000000004,20
73,0.35,14
74,0.35,14
75,0.35,14
76,0.35,14
77,-0.050000000000000266,16
78,-0.30000000000000027,18
79,-0.3000000000000005,18
80,0.35,14
81,0.35,14
82,0.35,14
83,-0.050000000000000266,16
84,-0.55,20
85,0.35,14
86,-0.7500000000000004,20
87,-0.3000000000000005,18
88,0.35,14
89,-0.7500000000000004,20
90,0.35,14
91,-0.15000000000000058,18
92,-0.05000000000000049,16
93,0.35,14
94,-0.30000000000000027,18
95,0.09999999999999987,16
96,0.35,14
97,-0.30000000000000027,18
98,0.35,14
99,0.35,14
100,-0.050000000000000044,16
101,0.2499999999999999,16
102,0.35,14
103,0.35,14
104,-0.40000000000000036,20
105,-0.050000000000000044,16
106,-0.05000000000000049,16
107,0.35,14
108,0.35,14
109,-0.6500000000000001,18
110,0.35,14
111,0.35,14
112,-4.049999999999998,24
113,0.2499999999999999,16
114,0.35,14
115,-0.050000000000000266,16
116,-0.050000000000000266,16
117,0.35,14
118,-1.1499999999999995,22
119,0.35,14
120,0.35,14
121,0.35,14
122,0.35,14
123,0.35,14
124,0.35,14
125,0.35,14
126,-0.30000000000000004,18
127,0.35,14
128,0.09999999999999964,16
129,-0.050000000000000266,16
130,0.35,14
131,0.35,14
132,0.35,14
133,0.35,14
134,0.35,14
135,0.35,14
136,-0.050000000000000044,16
137,0.35,14
138,0.35,14
139,0.35,14
140,-0.050000000000000266,16
141,0.35,14
142,0.35,14
143,0.35,14
144,0.35,14
145,0.35,14
146,0.35,14
147,-0.050000000000000266,16
148,0.35,14
149,0.35,14
150,0.35,14
151,-0.15000000000000013,18
152,0.35,14
153,-0.050000000000000266,16
154,-0.4500000000000002,18
155,0.35,14
156,0.35,14
157,0.35,14
158,0.35,14
159,0.35,14
160,0.35,14
161,-0.050000000000000266,16
162,0.35,14
163,0.35,14
164,0.35,14
165,0.35,14
166,0.35,14
167,-0.8500000000000001,18
168,0.35,14
169,0.35,14
170,0.35,14
171,0.35,14
172,0.35,14
173,0.35,14
174,-0.05000000000000049,16
175,0.35,14
176,0.35,14
177,0.35,14
178,0.35,14
179,0.35,14
180,-0.050000000000000266,16
181,0.35,14
182,0.35,14
183,-0.40000000000000036,20
184,0.09999999999999964,16
185,0.35,14
186,0.35,14
187,0.35,14
188,-0.8500000000000001,18
189,0.35,14
190,0.35,14
191,-0.050000000000000044,16
192,-0.050000000000000266,16
193,0.35,14
194,0.35,14
195,0.35,14
196,0.09999999999999964,16
197,0.35,14
198,0.35,14
199,0.35,14
